Eel,Treatment,Treatment_Round,Trial_Duration,Handling_Dur,Handling-PT,PT_Duration,PT_Prop,Knotting_Duration,Knotting_Prop,Knotting_Prop_Handling,Knotting_Binomial,Rotating_Duration,Rotating_Prop,Rotating_Prop_Handling,Ramming_Duration,Ramming_Prop,Ramming_Prop_Handling,Shaking_Duration,Shaking_Prop,Shaking_Prop_Handling,Crinkle_Duration,Crinkle_Prop,Crinkle_Prop_Handling,Tug_Duration,Tug_Prop,Tug_Prop_Handling,Anchor_Duration,Anchor_Prop,Anchor_Prop_Handling,Bite,Knotting_Freq,Rotating_Freq,Ramming_Freq,Shaking_Freq,BodyAnchor_Freq,TailAnchor_Freq
Horatio,Medium,1,40.302,29.697,29.816,10.486,0.35309964,0,0,0,No,13.901,0.344920848,0.46809442,0,0,0,0,0,0,15.796,0.391940847,0.53190558,0,0,0,0,0,0,18,0,9,0,0,4,0
Spaghettio,Medium,1,20.979,10.297,16.585,4.394,0.426726231,0,0,0,No,7.68,0.366080366,0.745848305,0,0,0,0,0,0,2.617,0.124743791,0.254151695,0.587,0.027980361,0.057006895,0,0,0,11,0,3,0,0,2,0
Jhonny ,Medium,1,20.64,21.346,12.431,8.209,0.384568537,0,0,0,No,2.893,0.140164729,0.135528905,0,0,0,0.572,0.027713178,0.02679659,7.048,0.341472868,0.330178956,0.623,0.030184109,0.029185796,10.833,0.524854651,0.50749555,10,0,4,0,1,1,1
Eelvis ,Medium,2,162.947,47.252,162.947,0,0,0,0,0,No,34.637,0.212566049,0.733027173,7.958,0.048837966,0.168416152,0,0,0,4.657,0.028579845,0.098556675,8.075,0.049555991,0.170892237,0,0,0,26,0,22,4,0,5,0
Snickers,Medium,2,255.359,7.156,252.189,3.17,0.442984908,0,0,0,No,5.204,0.020379152,0.727221912,0,0,0,0.534,0.002091174,0.074622694,0,0,0,2.619,0.010256149,0.365986585,1.418,0.005552967,0.198155394,14,0,7,0,1,1,3
Bill,Medium,2,17.938,7.058,4.543,13.395,1.897846415,0,0,0,No,0,0,0,0,0,0,0.587,0.032723827,0.083168036,0,0,0,1.023,0.057029769,0.14494191,6.471,0.360742558,0.916831964,9,0,0,0,1,0,1
Hamlet,Medium,2,22.961,8.507,15.425,7.536,0.885858705,0,0,0,No,1.239,0.053961064,0.145644763,0,0,0,1.793,0.078088933,0.210767603,3.416,0.148774008,0.401551663,1.641,0.071469013,0.192899965,2.059,0.089673795,0.24203597,19,0,1,0,4,3,2
Horatio,Medium,2,46.096,20.693,29.374,16.722,0.808099357,0,0,0,No,5.361,0.116300764,0.259073117,0,0,0,0.72,0.015619577,0.034794375,14.109,0.306078619,0.681824772,0,0,0,0.503,0.01091201,0.024307737,14,0,4,0,1,4,1
Spaghettio,Medium,2,28.822,29.897,17.359,11.463,0.383416396,0,0,0,No,9.945,0.345048921,0.332642071,0,0,0,0,0,0,15.478,0.537020332,0.517710807,0,0,0,4.474,0.155228645,0.149647122,11,0,5,0,0,5,2
Jhonny ,Medium,2,19.088,10.389,12.641,6.447,0.620560208,0,0,0,No,3.072,0.16093881,0.295697372,0,0,0,0,0,0,2.717,0.142340738,0.261526615,0.895,0.046888097,0.086148811,4.6,0.240989103,0.442776013,10,0,3,0,0,1,2
Eelvis ,Medium,3,41.308,26.071,39.618,1.69,0.064822983,0,0,0,No,22.2,0.537426164,0.851520847,2.486,0.060182047,0.095354992,0.484,0.011716859,0.018564689,0.901,0.021811756,0.034559472,5.237,0.126779316,0.200874535,0,0,0,11,0,5,1,1,1,0
Bill,Medium,3,19.739,4.97,13.047,6.692,1.346478873,0,0,0,No,4.548,0.230406809,0.915090543,0,0,0,0.422,0.021378996,0.084909457,0,0,0,0,0,0,0,0,0,10,0,4,0,1,0,0
Hamlet,Medium,3,32.227,8.348,22.167,10.06,1.205079061,0,0,0,No,3.671,0.113910696,0.439746047,0,0,0,2.599,0.080646663,0.311332056,1.039,0.032240047,0.124460949,0.47,0.014584044,0.05630091,1.039,0.032240047,0.124460949,14,0,4,0,4,2,2
