Treatment,Treatment_Exposure,Eel,Rotation_Bout,Rotation_Duration,Opercular_Passes,Opercular_Passes/2,Rotation_Second,Notes
Large,1,Eelvis,3,2.272,4,2,0.88028169,
Large,1,Eelvis,4,1.638,3,1.5,0.915750916,
Large,1,Eelvis,5,1.503,2,1,0.665335995,
Large,1,Eelvis,6,1.788,3,1.5,0.838926174,
Large,1,Eelvis,7,0.59,1,0.5,0.847457627,
Large,1,Eelvis,8,2.323,4,2,0.860955661,
Large,1,Eelvis,9,8.08,21,10.5,1.29950495,
Large,1,Eelvis,10,2.205,3,1.5,0.680272109,
Large,2,Eelvis,1,1.758,3,1.5,0.853242321,
Large,2,Eelvis,2,2.075,4,2,0.963855422,
Large,2,Eelvis,3,2.728,5,2.5,0.916422287,
Large,3,Eelvis,1,4.455,4,2,0.448933782,
Large,3,Eelvis,2,1.859,4,2,1.07584723,
Small,1,Johnny,1,1.275,2,1,0.784313725,
Small,1,Johnny,2,1.947,3,1.5,0.770416025,
Small,1,Johnny,3,1.561,2,1,0.64061499,
Small,1,Johnny,4,4.212,4,2,0.474833808,
Small,2,Johnny,NA,NA,NA,NA,NA,
Small,3,Johnny,1,2.622,3,1.5,0.57208238,
Small,3,Johnny,2,2.288,2,1,0.437062937,
Small,3,Johnny,3,9.285,8,4,0.430802369,
Small,3,Johnny,4,21.109,53,26.5,1.255388697,
Open,1,Bill,NA,NA,NA,NA,NA,
Open,2,Bill,NA,NA,NA,NA,NA,
Open,3,Bill,NA,NA,NA,NA,NA,
Open,4,Bill,NA,NA,NA,NA,NA,
Open,5,Bill,NA,NA,NA,NA,NA,
Open,2,Eelvis,1,0.503,2,1,1.988071571,
Open,2,Eelvis,2,0.75,3,1.5,2,
Open,3,Eelvis,NA,NA,NA,NA,NA,
Open,4,Eelvis,1,0.5,2,1,2,
Open,4,Eelvis,2,0.499,2,1,2.004008016,
Open,1,Eelvis,1,0.752,2,1,1.329787234,
Open,1,Eelvis,2,1.003,3,1.5,1.49551346,
Open,5,Eelvis,1,1.249,2,1,0.800640512,
Open,5,Eelvis,2,1.5,6,3,2,
Open,1,Hamlet,1,0.499,2,1,2.004008016,
Open,2,Hamlet,1,0.754,2,1,1.326259947,
Open,2,Hamlet,2,1.748,4,2,1.14416476,
Open,3,Hamlet,NA,NA,NA,NA,NA,
Open,4,Hamlet,1,1.25,2,1,0.8,
Open,5,Hamlet,NA,NA,NA,NA,NA,
Open,1,Horatio,NA,NA,NA,NA,NA,
Open,2,Horatio,NA,NA,NA,NA,NA,
Open,3,Horatio,NA,NA,NA,NA,NA,
Open,4,Horatio,1,0.749,1,0.5,0.667556742,
Open,5,Horatio,NA,NA,NA,NA,NA,
Open,1,Johnny,NA,NA,NA,NA,NA,
Open,2,Johnny,1,1.753,4,2,1.140901312,
Open,2,Johnny,2,0.75,2,1,1.333333333,
Open,3,Johnny,NA,NA,NA,NA,NA,
Open,4,Johnny,NA,NA,NA,NA,NA,
Open,1,Snickers,1,1.75,4,2,1.141552511,
Open,1,Snickers,2,4.00,9,4.5,1.124156882,
Open,2,Snickers,1,1.621,4,2,1.233806292,
Open,2,Snickers,2,1.004,2,1,0.996015936,
Open,3,Snickers,1,0.742,2,1,1.347708895,
Open,4,Snickers,NA,NA,NA,NA,NA,
Open,1,Spaghettio,1,0.246,1,0.5,2.032520325,
Open,1,Spaghettio,2,1.248,4,2,1.602564103,
Open,2,Spaghettio,1,1.001,2,1,0.999000999,
Open,3,Spaghettio,1,0.861,2,1,1.161440186,
Open,4,Spaghettio,1,0.749,2,1,1.335113485,
Open,4,Spaghettio,2,1.001,2,1,0.999000999,
Open,4,Spaghettio,3,0.75,2,1,1.333333333,
Open,5,Spaghettio,NA,NA,NA,NA,NA,
Open,1,Willie,1,0.752,2,1,1.329787234,
Open,2,Willie,NA,NA,NA,NA,NA,
Open,1,Yorick,NA,NA,NA,NA,NA,
Open,2,Yorick,NA,NA,NA,NA,NA,
Open,3,Yorick,NA,NA,NA,NA,NA,
Open,4,Yorick,1,0.5,2,1,2,
Open,4,Yorick,2,0.498,2,1,2.008032129,
