Site,Depth,Treatment,Frame_Arrival,Frame_Dur_All,Frame_Enter,Tube_Arrival,Tube_Dur,Tube_Enter,Max_Frame,Max_Tube,Agg_1,Agg_2,Agg_3,Agg_Chase,Agg_All,Notes
7,Submerged,Anchovy,342.243,131.88,9,346.494,60.416,5,1,1,,,,,,
8,Submerged,Anchovy,759.16,88.587,5,760.924,33.295,4,1,1,,,,,,
1,Submerged,Kelpbass,119.015,656.932,23,123.318,423.533,30,2,2,,,,,,
2,Submerged,Kelpbass,160.812,452.799,51,236.425,144.5,16,3,2,,,,,,
3,Submerged,Kelpbass,419.82,64.803,11,609.759,60.807,6,2,1,,,,,,
4,Submerged,Kelpbass,96.874,336.559,16,110.054,102.98,16,2,1,,,,,,
5,Submerged,Kelpbass,250.9,464.766,27,277.202,274.996,25,18,3,2,,,,,
6,Submerged,Kelpbass,848,17.32,2,849.748,12.507,2,1,1,,,,,,
7,Submerged,Kelpbass,99.735,468.18,19,103.621,109.346,25,1,1,,,,,,
8,Submerged,Kelpbass,NA,NA,NA,NA,NA,NA,0,0,,,,,,
